company_id=ICICIGI | year=2021 | metric=OPM | computed=82.9702 | source=2072.0000 | difference=1989.0298 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIGI | year=2022 | metric=OPM | computed=93.6603 | source=1016.0000 | difference=922.3397 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIGI | year=2023 | metric=OPM | computed=92.9291 | source=1264.0000 | difference=1171.0709 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIGI | year=2024 | metric=OPM | computed=87.4213 | source=2577.0000 | difference=2489.5787 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIPRULI | year=2013 | metric=OPM | computed=96.2797 | source=745.0000 | difference=648.7203 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIPRULI | year=2014 | metric=OPM | computed=93.1287 | source=1504.0000 | difference=1410.8713 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIPRULI | year=2015 | metric=OPM | computed=95.1964 | source=1655.0000 | difference=1559.8036 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIPRULI | year=2016 | metric=OPM | computed=91.1698 | source=1842.0000 | difference=1750.8302 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIPRULI | year=2017 | metric=OPM | computed=95.2242 | source=1806.0000 | difference=1710.7758 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIPRULI | year=2018 | metric=OPM | computed=95.4419 | source=1771.0000 | difference=1675.5581 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIPRULI | year=2019 | metric=OPM | computed=98.6952 | source=541.0000 | difference=442.3048 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIPRULI | year=2020 | metric=OPM | computed=101.5172 | source=-319.0000 | difference=420.5172 | category=formula discrepancy | explanation=OPM difference exceeds 1%
company_id=ICICIPRULI | year=2021 | metric=OPM | computed=100.4689 | source=-390.0000 | difference=490.4689 | category=formula discrepancy | explanation=OPM difference exceeds 1%
